"",".id","placetype","name","lat","lng","subloc1","subloc2","landmark","pincode","formatted","addrlen","url"
"1",1,"establishment/premise","Pristine Paradise East Road",12.9008937,77.6091293,"Ramanashree Enclave","Anugraha Layout",NA,"560076","Pristine Paradise E Rd, Anugraha Layout, Ramanashree Enclave, Bilekahalli, Bengaluru, Karnataka 560076, India",9,"https://maps.googleapis.com/maps/api/geocode/json?address=Pristine%20Paradise&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"2",2,"establishment/point_of_interest","153",12.9030387,77.5127048,"Channasandra","Uttarahalli Main Road",NA,"560098","153, Uttarahalli Main Rd, Channasandra, RR Nagar, Bengaluru, Karnataka 560098, India",9,"https://maps.googleapis.com/maps/api/geocode/json?address=7%20Hills%20Paradise&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"3",3,"establishment/point_of_interest","Sarjapur Road",12.9176613,77.6979436,"Doddakannelli","Adarsh Palm Retreat","Sarjapur Road","560035","Surya Shakti 80 Trees Next to Gear International School, Off Sarjapur Road, Adarsh Palm Retreat, Doddakannelli, Bengaluru, Karnataka 560035, India",8,"https://maps.googleapis.com/maps/api/geocode/json?address=80%20Trees%20Apartment&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"4",4,"establishment/point_of_interest","Ranka Colony Road",12.9035349,77.6062539,"Bilekahalli","Munivenkatppa Layout",NA,"560076","Ranka Colony Rd, Munivenkatppa Layout, Bilekahalli, Bengaluru, Karnataka 560076, India",8,"https://maps.googleapis.com/maps/api/geocode/json?address=Aahika%20Apartment&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"5",5,"establishment/point_of_interest","Ranka Colony Road",12.9035349,77.6062539,"Bilekahalli","Munivenkatppa Layout",NA,"560076","Ranka Colony Rd, Munivenkatppa Layout, Bilekahalli, Bengaluru, Karnataka 560076, India",8,"https://maps.googleapis.com/maps/api/geocode/json?address=Aahika%20Apartment&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"6",6,"establishment/general_contractor/point_of_interest","Huskur Gate",12.8341091,77.6951235,"Phase 1","Hosur Road",NA,"560100","Shree Ananth Nagar Layout, Huskur Gate, Hosur Rd, Phase 1, Electronic City Phase II, Electronic City, Bengaluru, Karnataka 560100, India",10,"https://maps.googleapis.com/maps/api/geocode/json?address=Aakruti%20Amity&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"7",7,"establishment/point_of_interest","Narayanappa Garden",12.9650517,77.7509136,"Bengaluru","Whitefield",NA,"560066","Narayanappa Garden, Whitefield, Bengaluru, Karnataka 560066, India",7,"https://maps.googleapis.com/maps/api/geocode/json?address=Aakruti%20Aura%20Springs&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"8",8,"establishment/premise","27th Ma",12.9012211,77.6500864,"ITI Layout","Somasundarapalya Main Road",NA,"560102","27th Ma, Somasundarapalya Main Rd, ITI Layout, Sector 7, HSR Layout, Bengaluru, Karnataka 560102, India",10,"https://maps.googleapis.com/maps/api/geocode/json?address=Aakruti%20Siliverline&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"9",9,"establishment/premise","Ashwini Layout",12.9404088,77.6282335,"Bengaluru","Ejipura",NA,"560047","Ashwini Layout, Ejipura, Bengaluru, Karnataka 560047, India",7,"https://maps.googleapis.com/maps/api/geocode/json?address=Aarav%20Homes&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"10",10,"establishment/premise","16",12.8774662,77.6160601,"Bhagyalakshmi Avenue","Nyanapahalli Main Road",NA,"560114","16, Nyanapahalli Main Rd, Bhagyalakshmi Avenue, Nyanappana Halli, Hulimavu, Bengaluru, Karnataka 560114, India",10,"https://maps.googleapis.com/maps/api/geocode/json?address=Aashraya%20Serenity&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"11",11,"establishment/premise","52",12.8750565,77.5928353,"Kalena Agrahara","Classic Orchards Layout",NA,"560076","52, Classic Orchards Layout, Kalena Agrahara, Bengaluru, Karnataka 560076, India",8,"https://maps.googleapis.com/maps/api/geocode/json?address=Aastha%20Valmark&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"12",12,"establishment/point_of_interest","Manyata Tech Park Road",13.0355163,77.6135246,"Nagavara","Govindapura","Manyata Tech Park Road","560045","Veerannapalya Main Road, near Manyata Tech Park Road, Govindapura, Nagavara, Bengaluru, Karnataka 560045, India",8,"https://maps.googleapis.com/maps/api/geocode/json?address=Abodh%20Valmark&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"13",13,"establishment/point_of_interest","Manyata Tech Park Road",13.0355163,77.6135246,"Nagavara","Govindapura","Manyata Tech Park Road","560045","Veerannapalya Main Road, near Manyata Tech Park Road, Govindapura, Nagavara, Bengaluru, Karnataka 560045, India",8,"https://maps.googleapis.com/maps/api/geocode/json?address=Abodh%20Valmark&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
"14",14,"establishment/point_of_interest","Doddakammanahalli Main Road",12.862794,77.6003965,"Bengaluru","Hulimavu",NA,"560076","Doddakammanahalli Main Rd, Hulimavu, Bengaluru, Karnataka 560076, India",7,"https://maps.googleapis.com/maps/api/geocode/json?address=ACAS%20Crescent%20Square&key=AIzaSyDKY_GA4QP50zRMpcP71unTGdECJYxaLaw"
